Company,Applicants,Title,Abstract,Industry,Patents_number,Prescore,Date_of_latest_publication,AI_score,Recommendation,Lead_Message,rag_cases,web_context,Website,LinkedIn
TAMIMI OMAR AHMAD ABDO AL ALJABER TAREQ,TAMIMI OMAR AHMAD ABDO AL;;ALJABER TAREQ,SYSTEM AND METHOD FOR IMAGE COMPRESSION BASED ON MACHINE LEARNING,"A system and method for compressing and decompressing image data, which provides better compression and minimal representation of the input image with minimal loss compared to previous Deep Learning codecs. The system can provide quantization during training, flexible addition of filters, and conditional complexity of image compression. The Deep Learning codec generates codes that are directly usable with Machine Learning algorithms, thus boosting the performance of Machine Learning algorithms.",Energy,1,80,2024-12-25,6,"Relevant industry match, but unclear outsourcing potential for software development services.",,[],,http://www.tco.com.sa,https://www.linkedin.com/company/tco-com-sa
JOIN,JOIN INC,Systems and Methods for Generating Recommendations from Unstructured Data Using Machine Learning Models,"Systems and methods for generating item recommendations from unstructured data using machine learning models are disclosed. One embodiment includes obtaining a dataset comprising a plurality of items, wherein each item includes at least one field containing unstructured data, preprocessing the dataset by performing filtering and text cleanup on the unstructured data, performing a coarse relatedness analysis by executing lookups on items in the dataset to identify potentially similar items and create links between items that are potentially interchangeable, performing coarse clustering by utilizing the links to organize related items into clusters using graph operations, performing fine clustering by constructing prompts for a large language model for each cluster to recluster items into subclusters and generate labels for canonical items and generating a list of interchangeable item recommendations based on the canonical items and their associated metadata.",Recruitment Software,1,80,2025-10-08,6,"Maybe a fit; relevant industry and tech match, but unclear outsourcing potential.",,[],,https://join.com,https://www.linkedin.com/company/join-com
INTUITIVE SURGICAL OPERATIONS,INTUITIVE SURGICAL OPERATIONS,SYSTEM ARCHITECTURE AND METHOD FOR DATA-FREE AI MODEL DEPLOYMENT || MEDICAL VIDEO STREAMING WITH MACHINE LEARNING,"The arrangements disclosed herein relate to systems, apparatuses, methods, and non-transitory processor-readable media for receiving, from a protected data environment, at least one feature embedding generated from data of a medical procedure, determining, using a similarity machine-learning model, a set of historical data of a plurality of medical procedures similar to the received feature embedding, identifying one or more analysis machine learning-models updated using the set of historical data, and providing, based on the one or more identified machine-learning models, an analysis machine-learning model for the protected data environment. Machine learning based efficient medical video streaming is described. A system can include one or more processors, coupled with memory, to receive, via a robotic medical system, a image frames related to a medical procedure performed by the robotic medical system. The one or more processors can transform, via one or more models trained with machine learning on historical images of medical procedures, the image frames to feature vectors. The one or more processors can cluster, via the one or more models, the feature vectors into clusters. The one or more processors can generate a run-length encoded data stream based at least in part on the clusters. The one or more processors can transmit, via a network, the run-length encoded data stream to one or more servers remote from the one or more processors to manage performance of the medical procedure.",Medical Instruments & Supplies,2,80,2025-05-09,8,"Strong fit due to the advanced technology stack and focus on healthcare, similar to RAG cases like Medkitdoc, which also integrates technology for telemedicine solutions.",,[],,https://www.intuitive.com,https://www.linkedin.com/company/intuitive-surgical
SYNAPTICS,SYNAPTICS INC,Neural network caching for video || UPDATING NEURAL NETWORK PARAMETERS VIA ENCODED MESSAGES,"This disclosure provides methods, devices, and systems for machine learning. The present implementations more specifically relate to techniques for reducing the computational load of a convolutional neural network (CNN) when processing successive video frames. In some aspects, a machine learning system may cache or store the outputs (also referred to as “activations”) produced by one or more layers of a CNN so that one or more cached activations can be substituted for respective activations that would otherwise be computed by the CNN when processing a subsequent video frame. For example, the machine learning system may compare each video frame with a preceding frame of the video to detect pixels that undergo significant changes between successive frames (also referred to as “motion pixels”). In some aspects, the CNN may only perform neural network operations that involve one or more motion pixels or features derived from a motion pixel. This disclosure provides methods, devices, and systems for machine learning. The present implementations more specifically relate to systems and techniques for updating neural network (NN) parameters via encoded messages. An input device may implement a NN model trained to perform inferencing on input tokens received via one or more sensors of the input device. In some aspects, the input device receives a first input token via the one or more sensors, determines that the first input token includes an encoded message, extracts NN information from the encoded message, and updates one or more parameters of the NN model based on the extracted NN information. In some other aspects, the input device receives a second input token via the one or more sensors, determines that the second input token does not include an encoded message, and performs an inferencing operation on the second input token based on the updated NN model.",Semiconductors,2,80,2024-07-23,6,"Relevant industry and basic tech match, but unclear outsourcing potential. Synaptics has a strong focus on hardware solutions and may not have immediate software development needs.",,[],,https://www.synaptics.com,https://www.linkedin.com/company/synaptics
SYMBOTIC,SYMBOTIC LLC,Calibration of depth-sensing computer vision systems || CALIBRATION OF DEPTH-SENSING COMPUTER VISION SYSTEMS,"Systems and methods utilize one or more 3D cameras (e.g., ToF cameras) in industrial safety applications. The 3D camera generates a depth map that may be used by external hardware and software to classify objects in a workcell and generate control signals for machinery. To facilitate sensor-specific calibration and coordination among sensors in a workcell, the sensors may store calibration data in a boot file that is loaded upon start-up. During initialization, the calibration data is loaded and, as the sensor operates, corrections are made to sensed data (e.g., pixel depth values) using the calibration data.",Automation Machinery Manufacturing,2,80,2025-09-16,6,"Symbotic operates in a relevant industry with a strong focus on AI and automation technologies. However, there is no direct match with RAG cases that indicates a clear need for software development outsourcing. The company has significant revenue and a large employee base, which may reduce their need for external software development services.",,[],,https://www.symbotic.com,https://www.linkedin.com/company/symbotic
BOOST PAYMENT SOLUTIONS,BOOST PAYMENT SOLUTIONS INC,ELECTRONIC PAYMENT PROCESSING USING ADJUSTED INTERCHANGE RATE || Electronic payment processing using adjusted interchange rate,"An encrypted payment message is received from a buyer relating to a transaction with a merchant. The payment message is parsed using a first parsing algorithm to obtain merchant identifying information. The merchant identifying information is associated with at least a second parsing algorithm or at least one settlement algorithm. The payment message is parsed using the second parsing algorithm to obtain payment information for the transaction. A first settlement algorithm is applied to the payment information to determine an adjusted interchange rate. The payment information including the adjusted interchange rate is submitted to a third party settlement processor on behalf of the merchant, using a payment algorithm. A second settlement algorithm applied to the payment information determines a buyer rebate which can be submitted to the settlement processor. A transaction result is reported to at least one of the merchant or the buyer.",Financial Services,2,80,2025-05-28,8,"Strong fit due to the fintech industry alignment and the need for advanced software solutions, similar to RAG cases like CryptoPay.",,[],,https://www.boostb2b.com/,https://www.linkedin.com/company/boost-payment-solutions-inc
SWTCH ENERGY,SWTCH ENERGY INC,SYSTEMS AND METHODS FOR ELECTRIC VEHICLE (EV) CHARGING WITH HVAC COORDINATION || Dynamic energy management for EV charging with real-time allocation using predictive control and coordination of facility energy demands including HVAC systems || DYNAMIC ENERGY MANAGEMNT FOR EV CHARGING WITH REAL-TIME ALLOCATION USING PREDICTIVE CONTROL AND COORDINATION OF FACILITY ENERGY DEMANDS INCLUDING HVAC SYSTEMS,"Example embodiments are directed to a building management system tailored for structures equipped with a network of electric vehicle (EV) chargers. The system integrates various components, including a host interface, HVAC systems with heat pumps and variable frequency drives (VFDs), a network of EV chargers featuring bi-directional charging capabilities, and a building management platform. Load-balancing software within panel metering devices ensures efficient energy distribution to the EV charging units. An artificial intelligence (AI) algorithm optimizes charging schedules based on historical usage data, minimizing energy consumption during peak hours. The system dynamically adjusts power allocation to EV chargers based on HVAC system demand, promoting efficient energy utilization. Real-time monitoring and analysis capabilities enhance energy management, with alerts notifying building managers of potential anomalies.",Renewable Energy Semiconductor Manufacturing,3,80,2025-05-16,6,"SWTCH Energy operates in a relevant industry with a focus on technology solutions for EV charging. However, their tech stack does not align closely with Interexy's expertise in software development. While there is potential for collaboration, the lack of strong similarity to RAG cases and the company's significant funding may limit the likelihood of outsourcing software development needs.",,[],,https://swtchenergy.com,https://ca.linkedin.com/company/swtchenergy
TABLEAU SOFTWARE,TABLEAU SOFTWARE LLC,USER INTERFACE FOR MACHINE LEARNING MODEL GENERATION,"A computer system receives a user input specifying a first data field of a data source and a modeling objective for the first data field. The computer system automatically executing a machine learning (ML) model training workflow to train a model to predict a first outcome for the first data field based on the modeling objective. While automatically executing the ML model training workflow to train the model, the computer system determines a plurality of artifacts across a plurality of steps of the ML model training workflow. The computer system generates and causes display of an artifact dependency view that shows dependency relationships between the plurality of artifacts, including a plurality of visual representations corresponding to the artifacts and a plurality of connectors, a respective connector connecting two visual representations of the plurality of visual representations, corresponding to two artifacts that have a dependency relationship with each other.",Software,1,80,2025-08-08,8,Tableau Software is a strong fit for software development services due to its modern tech stack and alignment with RAG cases in AI and data visualization. Their need for senior developers and ongoing innovation presents a clear opportunity for collaboration.,,[],,https://www.tableau.com,https://www.linkedin.com/company/tableau-software
CLOVER HEALTH,CLOVER HEALTH,UNIFIED AI-DRIVEN CLINICAL DECISION SUPPORT AND WORKFLOW OPTIMIZATION SYSTEM,"Systems and methods for enhancing clinical decision-making and workflow optimization is proposed. An example method includes the steps of collecting data from multiple healthcare sources, including electronic health records (EHRs), medical imaging, and patient-reported outcomes. The example method also includes analyzing the collected data using artificial intelligence (AI) and machine learning (ML) algorithms to generate actionable insights. Additionally, the example method includes presenting the generated insights to healthcare providers through a unified interface.",Healthcare,1,80,2025-08-29,8,"Clover Health is a strong fit for software development services due to its focus on technology-driven healthcare solutions and its proprietary software platform. The company's growth and revenue indicate a solid market presence, and its needs align well with the capabilities of Interexy.",,[],,https://www.cloverhealth.com,https://www.linkedin.com/company/clover-health
LAT ENTPR INC D B A MEDIPAK ENERGY SYSTEMS,LAT ENTPR INC D/B/A MEDIPAK ENERGY SYSTEMS,WEARABLE AND LIGHTWEIGHT PORTABLE POWER CASE,"Systems, methods, and articles for a wearable and lightweight portable power case are disclosed. The portable power case is comprised of a cylindrical housing, at least two battery elements connected to a printed circuit board (PCB), and at least one separating barrier between the at least two batteries and the PCB. The portable power case is operable to supply power to an amplifier, a radio, a wearable battery, a mobile phone, a tablet, a portable satellite dish and/or any other power consuming device. The portable power case is operable to be charged using solar panels, vehicle batteries, AC adapters, non-rechargeable batteries, and/or generators.",Electrical Products Manufacturing,2,80,2025-08-06,4,"While MediPak Energy Systems operates in the energy sector, their focus on electrical products manufacturing and specific technologies does not align closely with software development needs. There is no strong similarity to RAG cases, and their technology stack does not indicate a clear requirement for software solutions.",,[],,https://medipakrx.com/,https://www.linkedin.com/company/medipakrx
EDYOU TECH,EDYOU TECH INC,APPARATUS AND METHOD FOR PERSONALIZATION OF MACHINE LEARNING MODELS || Apparatus and method for personalization of educational machine learning models,"An apparatus for personalization of machine learning models, the apparatus including at least a processor and a memory communicatively connected to the at least a processor, the memory containing instructions configuring the processor to receive resource data from one or more data acquisition systems, classify the resource data to one or more information categorizations, generate information training data as a function of the classification, train an information machine learning model as a function of the information training data. receive a data request as a function of user input and generate an information output as a function of the data request and the information machine learning model. An apparatus and method for personalization of educational machine learning models. The apparatus includes at least a processor and a memory communicatively connected to the at least a processor. The memory instructs the processor to receive input data comprising one or more of a user profile and a request datum, generate, using a return generator, return output based on the request datum, identify, using a machine learning model, attribute data of the input data, generate, using a classifier, one or more classifications for the input data as a function of the attribute data associated with the input data, modify, using a natural language processor, the return output as a function of the user profile and one or more classifications assigned to the input data to generate user specific output, and display, using a downstream device, the user specific output.",Education,2,80,2025-02-03,6,"Relevant industry match with basic tech alignment, but no strong RAG case similarity. Potential for software development services exists, but outsourcing needs are unclear.",,[],,https://edyou.com/,https://www.linkedin.com/company/edyou-empoweryourself
HOWARD NEWTON,HOWARD NEWTON,TELECOMMUNICATION SYSTEM FAILURES PREDICTION THROUGH MACHINE LEARNING AND ARTIFICIAL INTELLIGENCE,"In an embodiment, a method may be implemented in a computer system comprising a processor, memory accessible by the processor, and computer program instructions stored in the memory and executable by the processor, the computer system interconnected with a telecommunications system, the method comprising: receiving, at the computer system, data relating to operation of the telecommunication system, obtaining, at the computer system, at least one machine learning model trained to detect and predict faults in the operation of the telecommunication system, selecting, at the computer system, computing infrastructure upon which to execute the at least one machine learning model, wherein the selected computing infrastructure comprises a mesh of interconnected micro-applications;, executing, at the computer system, the at least one machine learning model using the selected computing infrastructure to detect and predict faults in the operation of the telecommunication system, and automatically correcting at least some of the detected faults.",Primary: Signage and Technology Solutions; Secondary: Branding and Design Services,1,80,2024-08-05,5,"The Howard Company has a relevant industry focus but lacks a clear need for advanced software development services as per the current tech stack. Potential for collaboration exists, but it is not strong enough to justify a higher score.",,[],,https://www.howardcompany.com,https://www.linkedin.com/company/the-howard-company-inc
ITERIS,ITERIS INC,MACHINE LEARNING-BASED PREDICTIVE MODELING FRAMEWORK FOR IDENTIFYING AND SCORING CRITICAL SIGNALIZED INTERSECTIONS,"A machine learning-based modeling framework provides an approach for quickly identifying and prioritizing intersection safety improvements, and for analyzing adverse traffic events such as collisions and crashes at signalized intersections within a transportation network, to generate risk scores for intersection safety performance screening in a large such network. The framework enables machine learning models to be run using current data to identify dangerous locations and treat them with traffic safety measures, without having available up-to-date or recent crash data. These machine learning models also account for dangerous behavior by considering speed and excessive hard braking and hard acceleration to produce more accurate risk scores.","Transportation, Mobility",1,80,2024-10-24,7,"Iteris has a strong alignment with our services, particularly in the development of cloud-based solutions and data analytics tools. Their focus on smart mobility infrastructure management and the recent acquisition by Almaviva Group indicates a growing need for advanced software development capabilities, making them a suitable target for our services.",,[],,https://www.iteris.com/,https://www.linkedin.com/company/iteris-inc/
DEEPSIG,DEEPSIG INC,"Radio frequency band segmentation, signal detection and labelling using machine learning || RADIO FREQUENCY BAND SEGMENTATION, SIGNAL DETECTION AND LABELLING USING MACHINE LEARNING","Methods, systems, and apparatus, including computer programs encoded on computer storage media, for radio frequency band segmentation, signal detection and labelling using machine learning. In some implementations, a sample of electromagnetic energy processed by one or more radio frequency (RF) communication receivers is received from the one or more receivers. The sample of electromagnetic energy is examined to detect one or more RF signals present in the sample. In response to detecting one or more RF signals present in the sample, the one or more RF signals are extracted from the sample, and time and frequency bounds are estimated for each of the one or more RF signals. For each of the one or more RF signals, at least one of a type of a signal present, or a likelihood of signal being present, in the sample is classified.",Software Development,2,80,2025-07-25,7,Good fit due to the focus on AI-native wireless communications and the need for software development services. Similarities with RAG cases in the AI sector indicate potential outsourcing opportunities.,,[],,https://www.deepsig.ai/,https://www.linkedin.com/company/deepsig
KAIKU HEALTH OY,KAIKU HEALTH OY,MACHINE LEARNING ANALYSIS TECHNIQUES FOR CLINICAL AND PATIENT DATA || Machine learning analysis techniques for clinical and patient data,"Systems and methods are disclosed for analyzing data from oncology treatments such as immune checkpoint inhibitor or radiotherapy therapies, including predicting adverse events of the oncology therapies, predicting objective response of the oncology therapies, predicting symptoms from the oncology therapies, and use of such predictions by technological implementations to achieve improved system and medical outcomes. An example technique for generating a predicted treatment outcome includes: receiving patient data for a human subject, which provides patient-reported outcomes collected from the human subject relating to a particular oncology treatment; processing the patient data with a trained artificial intelligence (AI) prediction model, which receives the patient data as input and produces a prediction of a treatment outcome as output; and outputting data to modify a treatment workflow of an oncology treatment for the human subject, based on the prediction of the treatment outcome.",Healthcare,2,80,2025-06-09,7,"Kaiku Health Oy has a strong alignment with Interexy's services, particularly in the healthcare sector. Their focus on intelligent patient monitoring software and integration with hospital systems indicates a clear need for software development services. Additionally, the similarity to RAG cases, particularly in healthcare technology, supports a good fit for potential collaboration.",,[],,https://kaikuhealth.com,https://www.linkedin.com/company/kaiku-health
SECUREFRAME,SECUREFRAME INC,"SYSTEMS AND METHODS IMPLEMENTING A PARALLEL SEARCH ARCHITECTURE FOR MACHINE LEARNING-BASED ACCELERATION OF DATA SECURITY, DATA SECURITY ARCHITECTURES, AND DATA SECURITY COMPLIANCE ACTIVITIES || Systems and methods implementing a parallel search architecture for machine learning-based acceleration of data security, data security architectures, and data security compliance activities","Systems and methods for machine learning-informed response and augmentation of incomplete queries and query artifacts that include executing parallel search engines in a machine learning pipeline based on an input of a query to retrieve one or more corpora of candidate digital artifacts, constructing a merged corpus of candidate digital artifacts based on the retrieved corpora of digital artifacts, ranking each candidate digital artifact of the merged corpus of candidate digital artifacts based on a computed relevance to the input query, and returning, via a user interface, a response to the input query based on a subset of prioritized candidate digital artifacts most relevant to the input query.",Information Technology & Services,2,80,2025-11-26,6,"Maybe; Secureframe operates in a relevant industry with a modern tech stack, but lacks a strong similarity to RAG cases and may not have clear outsourcing potential.",,[],,https://secureframe.com,https://www.linkedin.com/company/secureframe
CEQUENCE SECURITY,CEQUENCE SECURITY INC,FOUNDATIONAL MACHINE LEARNING MODEL APPLICATION PROGRAMMING INTERFACE (API) SECURITY || AUTOMATED DETECTION AND MITIGATION OF BOT ATTACKS USING MACHINE LEARNING,Various embodiments include a system. The system comprises processing circuitry. The processing circuitry obtains an Application Programming Interface (API) call that is associated with a Large Language Model (LLM). The processing circuitry generates a feature vector that numerically represents data included in the API call associated with the LLM. The processing circuitry provides the feature vector to a security LLM trained to detect security threats to the LLM. The processing circuitry obtains an output from the security LLM that indicates a security threat to the LLM. The processing circuitry determines a security policy based on the security threat. The processing circuitry provides the security policy to a security proxy that screens the API call. Various embodiments include a system that utilizes machine learning to detect and mitigate bot attacks. The system comprises processing circuitry. The processing circuitry obtains historical traffic data and attack traffic data in response to an attack notification. The attack traffic data characterizes traffic received during a bot attack and the historical traffic data characterizes other traffic received when the bot attack is not occurring. The processing circuitry extracts features from the historical traffic data and the attack traffic data. The processing circuitry trains a machine learning classifier to identify the features that correspond to attack traffic and the features that correspond to legitimate traffic. The processing circuitry forms decision rules based on an output from the machine learning classifier to block the attack traffic based on the features that correspond to the attack traffic. The processing circuitry generates one or more security policies based on the decision rules.,Cybersecurity,2,80,2025-07-30,6,"Cequence Security has a strong focus on application and API security solutions, which aligns with modern tech stacks. However, their significant funding and revenue suggest they may not be in need of outstaffing services at this scale. Further exploration of specific development needs may be required.",,[],,https://www.cequence.ai,https://www.linkedin.com/company/cequence-security
CFA PROPERTIES,CFA PROPERTIES INC,TRAINING MACHINE LEARNING MODELS FOR AUTOMATED COMPOSITION GENERATION,"A process for automated story generation can comprise receiving, via at least one computing device, interaction data associated with an entity and a physical environment. Based on the interaction data, the at least one computing device can determine that at least one event occurred based on the interaction data. The at least one computing device can execute a trained machine learning model on the interaction data to generate an output comprising one or more interests. The at least one computing device can generate a composition comprising an audio element and a visual element based on the output.",Real Estate Development,1,80,2024-09-12,4,"CFA Properties operates in a traditional industry with limited direct overlap with software development needs. While there may be opportunities for tech integration, the lack of a clear tech stack and similarity to RAG cases suggests a lower potential for software development services.",,[],,https://cfanorthridge.com,https://www.linkedin.com/company/cfa-properties-inc
KAMPE KIERA LATHAM LASHAWNDRA,KAMPE KIERA;;LATHAM LASHAWNDRA,Location Tracking and Safety Wearable Device and System,"The present invention is a safety and tracking system comprising a wearable device and a software application for real-time monitoring and communication. The wearable device includes an adjustable strap with a secure locking mechanism and an embedded control unit. The control unit features a GPS module for accurate location tracking, a push button for sending SOS alerts, and a wireless communication module for data exchange with a remote device. The device is further equipped with a proximity range detector to monitor geofence boundaries, a vital sensor for detecting physiological data and distress events, and a touch display for two-way communication. The software application is installed on a remote electronic device and provides caregivers with real-time location tracking on a digital map, alert notifications, geofence management, and access to historical movement and physiological data of the wearer.",Healthcare Technology,1,80,2025-01-09,6,"Potential for collaboration exists, but further research is needed to assess specific software development needs and outsourcing potential.",,[],,https://k-knowledge.kr/srch/read.jsp?id=282273843,https://www.linkedin.com/company/k-knowledge
PITT OHIO EXPRESS,PITT OHIO EXPRESS LLC,APPARATUS AND METHOD FOR CARBON EMISSION OPTIMIZATION USING MACHINE-LEARNING,"An apparatus for carbon emission optimization using machine-learning, apparatus including a processor and a memory containing instructions configuring the processor to receive an integrated logistics data collection, determine a projected carbon emission as a function of the integrated logistics data collection, generate a transportation plan as a function of the integrated logistics data collection and the projected carbon emission, continuously receive a current logistics datum from an external source, and iteratively modify the transportation plan based on the current logistics datum.",Transportation and Supply Chain Management,1,80,2024-12-04,7,"PITT OHIO has a strong industry match with relevant technology needs, particularly in supply chain solutions. Their focus on customized services aligns well with our software development capabilities, making them a suitable target for our services.",,[],,https://pittohio.com,https://www.linkedin.com/company/pitt-ohio-express
SENSEONICS,SENSEONICS INC,CONTOUR-BASED LOSS FUNCTION FOR MACHINE LEARNING || INTRODUCING JITTER TO TRAIN AND/OR ASSESS THE STABILITY OF A MACHINE LEARNING MODEL,"Systems, apparatuses, and methods for training a machine learning (ML) model. Training the ML model may include using contour lines on a plot of prediction values to expected values to determine loss values indicative of errors between prediction values output by the ML model and corresponding expected values. The contour lines may be associated with loss values. Using the contour lines to determine the loss values may include, for each prediction value-expected value pair: generating a one-dimensional loss function through the prediction value-expected value pair, and using the one-dimensional loss function to determine a loss value for the prediction value-expected value pair. Training the ML model may include using an overall loss function to determine an overall loss of the ML model based on the determined loss values. Training the ML model may include adjusting the ML model to minimize the overall loss of the ML model. Systems, apparatuses, and methods for training and/or assessing the stability of a machine learning (ML) model. Training and/or assessing the stability may include, for each input sample n of N input samples, for each perturbation q of Q perturbations: determining a perturbed input sample nq by perturbing the input sample n and using the ML model to obtain a perturbed output yqn based on the perturbed input sample nq. Training and/or assessing the stability may include, for each input sample n of the N input samples, aggregating the perturbed outputs yqn to obtain an aggregate perturbed output yn of the Q perturbations for the input sample n. Training the ML model may include updating one or more parameters of the ML model based on at least the aggregate perturbed outputs yn. Assessing the stability may include aggregating the aggregate perturbed outputs yn (or relative output variations ynrel).",Medical Devices,2,80,2024-10-31,8,Strong fit due to the healthcare industry focus and advanced technology stack. Similarities with RAG cases indicate potential for software development services.,,[],,https://www.senseonics.com/,https://www.linkedin.com/company/senseonics/
PEACEPROJECT AI,PEACEPROJECT AI LLC,MACHINE LEARNING ASSISTED COMMUNICATION TOOL,"Systems and methods for providing a machine learning assisted communication tool are provided. A method for using machine learning to aid communication may include: receiving inputs, via a user input device, the received inputs including: a message input indicative of a message to be communicated; and one or more contextual inputs associated with the message to be communicated, each contextual input having an associated context type; generating a prompt based at least in part on the received inputs and the associated context types of the one or more contextual inputs; and determining, using a machine learning model, one or more outputs associated with the message to be communicated based at least in part on the generated prompt, at least one output of the one or more outputs being a message output indicative of the message to be communicated based at least in part on the received inputs.",Non-profit Organizations,1,80,2025-04-09,4,"The Peace Project has a relevant mission but lacks a clear need for advanced software development services. Their focus on community engagement and arts-based programming does not align strongly with the tech stack or needs of Interexy. Potential for collaboration exists, but it is limited.",,[],,http://www.thepeaceproject.org,https://www.linkedin.com/company/thepeaceprojectusa
EVA TECH,EVA TECH CORP,SYSTEMS AND METHODS FOR CONVERTING AN ANALOG MACHINE LEARNING OUTPUT SIGNAL INTO A DIGITAL SIGNAL,"Systems and methods are disclosed for analog-to-digital-converter (ADC) solutions supporting analog AI deep learning systems. These systems can outperform their digital counterparts in speed and energy efficiency since computations are conducted directly in memory and analog processors inherently support parallel operations. ADCs play a crucial role in analog AI deep learning because they serve as the bridge between the analog and digital worlds. An analog AI deep learning system may comprise a DAC, a programming module, row/column switches, a crossbar array and an ADC. The ADC may comprise switches for time interleaving of an analog neural network output signal, received from the row/column switches associated with the crossbar array. The time interleaved signals are separately ported between two capacitive paths, and are subsequently coupled to separate inverters. A frequency signal is generated by a logic gate, which is coupled to a digital filter that generates an n-bit digital word.",Information Technology and Audio Systems,1,80,2024-09-20,5,"Relevant industry match, but unclear outsourcing potential. No strong RAG matches found.",,[],,https://evatek.us/,
SIMPSON JESSICA,SIMPSON JESSICA,Wearable Safety and Emergency Response Device,"A wearable safety device is disclosed. The device includes a waterproof housing with a touch-based display screen. The device includes dual alarm buttons utilizing, for example, simultaneous actuation to trigger an emergency alert, which initiates an alert message to be transmitted to law enforcement, employer, emergency contact, et. al. (i.e., selected destination) of the wearer of the device along with activation of vibration feedback and automatic audio recording. The device features a GPS receiver/transceiver for location tracking and a wireless module for real-time communication with law enforcement, employer, emergency contact, et. al. (i.e., selected destination). The device connects to a mobile application and cloud database for storing audio/video and receiving predictive safety alerts based on historical data analysis, thereby enhancing user safety through both reactive and preventive measures.",Fashion,1,80,2024-06-24,2,"Some industry match, but no clear tech development needs or similarity to RAG cases.",,[],,https://www.jessicasimpson.com,https://www.linkedin.com/company/the-jessica-simpson-collection
HYLAND UK OPERATIONS,HYLAND UK OPERATIONS LTD,TECHNIQUES FOR INTUITIVE MACHINE LEARNING DEVELOPMENT AND OPTIMIZATION || Graphical user interface for automated machine learning model development with data health assessment,"Various embodiments are generally directed to techniques for intuitive machine learning (ML) development and optimization, such as for application in a content services platform (CSP), for instance. Many embodiments include a ML model developer and a ML model evaluator to provide a graphical user interface that guides ML layman in developing, evaluating, implementing, managing, and/or optimizing ML models. Some embodiments are particularly directed to a common interface that provides a step-by-step user experience to develop and implement ML techniques. For example, embodiments may include computing a health score for various aspects of developing and/or optimizing ML models, and using the health score, and the factors contributing thereto, to guide production of a valuable ML model. These and other embodiments are described and claimed.",Information Technology Services,2,80,2025-11-18,7,"Good fit due to the alignment with AI and cloud-native technologies, similar to RAG cases in AI and software development needs.",,[],,https://www.hyland.com/en/solutions/products/alfresco-platform,https://www.linkedin.com/company/hyland-software
DUN AND BRADSTREET,THE DUN AND BRADSTREET CORP,SYSTEM AND METHOD USING DEEP LEARNING AND MACHINE LEARNING TO PREDICT THE LIKELIHOOD OF A SUPPLIER-BUYER RELATIONSHIP BETWEEN TWO ENTITIES AND TO GENERATE A PROBABILITY INDEX THEREFROM,"A system and method for utilizing deep learning and machine learning to predict the likelihood of a supplier-buyer relationship existing between two business entities using a retrieval model and a ranking model. The output is a raw supplier propensity score between 0 and 1 representing the likelihood of a supplier-buyer relationship, as well as a propensity class based on ranges of this score. A user-interactive map displays supplier-buyer relationships where the raw supplier propensity score exceeds a threshold value.",Commercial & Professional Services,1,80,2025-08-05,6,"Dun & Bradstreet has a strong presence in data analytics and risk management, but their size and established infrastructure suggest limited need for outsourcing software development services. While there are some overlaps in technology, the scale of their operations may not align with Interexy's target client profile.",,[],,https://www.dnb.com,https://www.linkedin.com/company/dun-&-bradstreet
EMANATE WIRELESS,EMANATE WIRELESS INC,Wireless room occupancy monitor || WIRELESS ROOM OCCUPANCY MONITOR,"A wireless room occupancy monitor, system and training method are provided. The room occupancy monitor includes an antenna array configured to detect wireless transmissions from a tag device; a wireless transceiver configured to receive the wireless transmissions detected by the antenna array and produce receive signals; a processor configured to process the receive signals; and a motion sensor coupled to the processor and configured to wake up the processor in response to detecting when the tag device enters or exits a room. The monitor is configured to be mounted proximate an entryway to the room. After the motion sensor wakes up the processor, the processor is configured to power on the wireless transceiver and run an algorithm on a sequence of received signal strength estimates and array response vectors derived from the receive signals to determine when the tag device has entered or exited the room via the entryway. A room occupancy monitor includes an antenna array configured to detect wireless transmissions from a tag device; a wireless transceiver configured to receive the wireless transmissions detected by the antenna array and produce receive signals; a processor configured to process the receive signals; and a motion sensor coupled to the processor and configured to wake up the processor in response to detecting when the tag device enters or exits a room. After the motion sensor wakes up the processor, the processor is configured to power on the wireless transceiver and run an algorithm on a sequence of estimates of a parameter, derived from the received signals from the tag, that is indicative of a distance between the tag and monitor, and array response vectors derived from the receive signals and determine when the tag device has entered or exited the room via the entryway.",Healthcare Technology,3,80,2025-06-25,8,"Emanate Wireless is a strong fit for software development services due to its focus on IoT and ML solutions in healthcare, aligning well with Interexy's expertise. The similarity to RAG cases like The Autonomous Living indicates a proven track record in similar projects.",,[],,https://emanatewireless.com/,https://www.linkedin.com/company/emanate-wireless
